"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"1400000US06075010101","Census Tract 101.01; San Francisco County; California","89022","40627",
"1400000US06075010102","Census Tract 101.02; San Francisco County; California","102826","55857",
"1400000US06075010201","Census Tract 102.01; San Francisco County; California","156017","4484",
"1400000US06075010202","Census Tract 102.02; San Francisco County; California","176958","57906",
"1400000US06075010300","Census Tract 103; San Francisco County; California","158144","24737",
"1400000US06075010401","Census Tract 104.01; San Francisco County; California","181705","83334",
"1400000US06075010402","Census Tract 104.02; San Francisco County; California","203354","81890",
"1400000US06075010500","Census Tract 105; San Francisco County; California","179896","35332",
"1400000US06075010600","Census Tract 106; San Francisco County; California","75938","46221",
"1400000US06075010701","Census Tract 107.01; San Francisco County; California","24854","9420",
"1400000US06075010702","Census Tract 107.02; San Francisco County; California","84904","27839",
"1400000US06075010800","Census Tract 108; San Francisco County; California","123750","67359",
"1400000US06075010901","Census Tract 109.01; San Francisco County; California","183468","32728",
"1400000US06075010902","Census Tract 109.02; San Francisco County; California","155234","49366",
"1400000US06075011001","Census Tract 110.01; San Francisco County; California","129423","30678",
"1400000US06075011002","Census Tract 110.02; San Francisco County; California","157980","27194",
"1400000US06075011101","Census Tract 111.01; San Francisco County; California","93056","36150",
"1400000US06075011102","Census Tract 111.02; San Francisco County; California","104966","27466",
"1400000US06075011200","Census Tract 112; San Francisco County; California","121855","57811",
"1400000US06075011300","Census Tract 113; San Francisco County; California","32623","8966",
"1400000US06075011700","Census Tract 117; San Francisco County; California","51464","19138",
"1400000US06075011800","Census Tract 118; San Francisco County; California","43487","21722",
"1400000US06075011901","Census Tract 119.01; San Francisco County; California","96518","15049",
"1400000US06075011902","Census Tract 119.02; San Francisco County; California","75625","7652",
"1400000US06075012001","Census Tract 120.01; San Francisco County; California","80300","15539",
"1400000US06075012002","Census Tract 120.02; San Francisco County; California","72549","22476",
"1400000US06075012100","Census Tract 121; San Francisco County; California","108000","36079",
"1400000US06075012202","Census Tract 122.02; San Francisco County; California","57897","20106",
"1400000US06075012203","Census Tract 122.03; San Francisco County; California","23440","4741",
"1400000US06075012204","Census Tract 122.04; San Francisco County; California","64707","22981",
"1400000US06075012301","Census Tract 123.01; San Francisco County; California","23385","5835",
"1400000US06075012302","Census Tract 123.02; San Francisco County; California","44954","13482",
"1400000US06075012403","Census Tract 124.03; San Francisco County; California","-","**",
"1400000US06075012404","Census Tract 124.04; San Francisco County; California","-","**",
"1400000US06075012405","Census Tract 124.05; San Francisco County; California","113665","36690",
"1400000US06075012406","Census Tract 124.06; San Francisco County; California","-","**",
"1400000US06075012502","Census Tract 125.02; San Francisco County; California","18217","5598",
"1400000US06075012503","Census Tract 125.03; San Francisco County; California","50696","9034",
"1400000US06075012504","Census Tract 125.04; San Francisco County; California","19333","10499",
"1400000US06075012601","Census Tract 126.01; San Francisco County; California","171058","36071",
"1400000US06075012602","Census Tract 126.02; San Francisco County; California","244000","66328",
"1400000US06075012700","Census Tract 127; San Francisco County; California","234886","58903",
"1400000US06075012801","Census Tract 128.01; San Francisco County; California","215568","79524",
"1400000US06075012802","Census Tract 128.02; San Francisco County; California","250,000+","***",
"1400000US06075012901","Census Tract 129.01; San Francisco County; California","219125","48806",
"1400000US06075012902","Census Tract 129.02; San Francisco County; California","189444","37214",
"1400000US06075013001","Census Tract 130.01; San Francisco County; California","154659","63146",
"1400000US06075013002","Census Tract 130.02; San Francisco County; California","244215","45743",
"1400000US06075013101","Census Tract 131.01; San Francisco County; California","197014","64815",
"1400000US06075013102","Census Tract 131.02; San Francisco County; California","250,000+","***",
"1400000US06075013200","Census Tract 132; San Francisco County; California","164375","81673",
