"OBJECTID","STOPNAME","TRAPEZESTOPABBR","RUCUSSTOPABBR","STOPID","LATITUDE","LONGITUDE","ACCESSIBILITYMASK","ATSTREET","ONSTREET","POSITION","ORIENTATION","SERVICEPLANNINGSTOPTYPE","SHELTER","INSERT_TIMESTAMP","SDE_ID","SIGNUPID","SUPERVISOR_DISTRICT","shape","data_as_of","data_loaded_at"
"104675","Sansome St&Jackson St SW-FS/BZ","SANSJACK",,"7863","37.796527","-122.401909",,,,,,,"0","1757027498000","16419588","150","3","POINT (-122.401909 37.796527)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103752","Geary Blvd&Stanyan Blvd SW-NS/BZ","GEARSTA1","GEARSTAN","4764","37.78126","-122.456434",,"STANYAN ST","GEARY BLVD","NS","SW","BZ","0","1757027498000","16413956","150","2","POINT (-122.456434 37.78126)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102618","Duncan St&Cameo Way SW-NS/SB","DUNCCAM0","DUNCCAMO","4454","37.74519","-122.44304",,"CAMEO WAY","DUNCAN ST","NS","WE","FL","0","1757027498000","16410396","150","8","POINT (-122.44304 37.74519)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102419","Arguello Blvd&California St SE-NS","ARGLCAL1","ARGLCALI","3643","37.785596","-122.459093","1","CALIFORNIA ST","ARGUELLO BLVD","NS","SE","BZ","0","1757027498000","16409429","150","2","POINT (-122.459093 37.785596)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"105140","Ocean Ave&Cayuga Ave NE-NS/BZ","OCENCAY0","OCENCAYU","5782","37.72367","-122.43867","1","CAYUGA AVE","OCEAN AVE","NS","NE","BZ","0","1757027498000","16418939","150","11","POINT (-122.43867 37.72367)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"105148","Van Ness Ave&No. Point St NW-NS/BZ","V.N.N.P1","V.N.N.PT","6820","37.805072","-122.42542",,"NORTH POINT ST","VAN NESS AVE",,"SW","BZ","1","1757027498000","16418977","150","2","POINT (-122.42542 37.805072)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102702","Geary Blvd&25TH Ave SE-FS/BZ","GEAR25A1","GEAR25AV","4270","37.780077","-122.484562",,"25TH AVE","GEARY BLVD","NS","SW","BZ","0","1757027498000","16410226","150","1","POINT (-122.484562 37.780077)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103469","Monterey Blvd&Valdez Ave NE-NS/SB","MTRYVLD0","MTRYVLDZ","5444","37.731445","-122.455649",,"VALDEZ AVE","MONTEREY BLVD","NS","NE",,"0","1757027498000","16412575","150","7","POINT (-122.455649 37.731445)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102992","Division St&Bryant St SE-FS/BZ","DIVNBRY0","DIVNBRYT","4436","37.76934","-122.41074",,"BRYANT ST","DIVISION ST","FS","SE",,"0","1757027498000","16410958","150","9","POINT (-122.41074 37.76934)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103956","Noriega St&46th Ave NW-FS/BZ","NORI46A0","NORI46AV","5761","37.753034","-122.505712","2","46TH AVE","NORIEGA ST","FS","NW","BZ","0","1757027498000","16417527","150","4","POINT (-122.505712 37.753034)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104296","Sacramento St&Davis St NE-NS/BZ","SACODAV1","SACODAVS","6294","37.79455","-122.3976",,"DAVIS ST","SACRAMENTO ST","NS","NE","BZ","0","1757027498000","16415176","150","3","POINT (-122.3976 37.79455)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103995","Ocean Ave&Miramar Ave SW-NS/SI","OCENMRM0","OCENMRMR","5798","37.724262","-122.458306",,"CAPITOL AVE","OCEAN AVE","NS","SW","SI","0","1757027498000","16416007","150","11","POINT (-122.458306 37.724262)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102320","22nd St&Iowa St NE-FS/BZ","22STIOW0","22STIOWA","3435","37.757754","-122.392273",,"IOWA ST","22ND ST","FS","NW",,"0","1757027498000","16409171","150","10","POINT (-122.392273 37.757754)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103590","West Portal Ave&Sloat Blvd NE-FS/PS","W P SLOA",,"7205","37.735039","-122.471343",,"BROAD ST","WEST PORTAL AVE",,"NE",,"0","1757027498000","16413696","150","7","POINT (-122.471343 37.735039)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102676","Church St&16TH St NW-NS/SI","CHUR16S0","CHUR16ST","3984","37.764621","-122.428722",,"16TH ST","CHURCH ST","NS","NW","SI","0","1757027498000","16410171","150","8","POINT (-122.428722 37.764621)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103691","Fillmore St&Hayes St SW-FS/BZ","FILLHAY0","FILLHAYS","4622","37.775598","-122.431207",,"HAYES ST","FILLMORE ST","FS","SW","BZ","0","1757027498000","16414108","150","5","POINT (-122.431207 37.775598)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102118","1697 7th Ave SW-FS/SB",".7AV1690","7AV1697","3188","37.756597","-122.463741",,,"7TH AVE","FS","SW",,"0","1757027498000","16408921","150","7","POINT (-122.463741 37.756597)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103574","O'Shaughnessy Blvd&Portola Dr S-FS","OSHAPOR0","OSHAPORT","5834","37.744999","-122.451308",,"PORTOLA DR","O SHAUGHNESSY BLVD","FS","SO",,"0","1757027498000","16413225","150","7","POINT (-122.451308 37.744999)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102268","Bryant St&18TH St NW-NS/BZ","BRYT18S0","BRYT18ST","3734","37.76187","-122.4102",,"18TH ST","BRYANT ST","NS","NW","BZ","0","1757027498000","16409370","150","9","POINT (-122.4102 37.76187)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
