"Store Name","Address","Address 2","City","State","Zip","County","Store Type","Incentive Program","Grantee Name","Point Source","Selected Location"
"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"THE GOOD LIFE GROCERY","1524 20th St","","San Francisco","CA","94107","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"TL Kitchen","177 Eddy St","","San Francisco","CA","94102","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Tai Hing Inc","681 Broadway","","San Francisco","CA","94133","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Taisan Huakee Restaurant","4737 Geary Blvd","","San Francisco","CA","94118","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Tan Hua SF LLC","1143 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Tan Tan Trading Company Inc.","1222 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Target 3264","233 Winston Dr","","San Francisco","CA","94132","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Target Store 2768","2675 Geary Blvd","","San Francisco","CA","94118","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Target Store T-2766","789 Mission St","","San Francisco","CA","94103","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Teddys Market","298 Teddy Ave","","San Francisco","CA","94134","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Tenderloin Market And Deli","200 Leavenworth St","","San Francisco","CA","94102","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Teranga","101 Hyde St","","San Francisco","CA","94102","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"The Nature Stop","1336 Grant Ave","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"The Silver Platter Liquor","2501 Van Ness Ave","","San Francisco","CA","94109","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"The Soup","2315 Irving St","","San Francisco","CA","94122","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"The Supremo Pizza","87 6th St","","San Francisco","CA","94103","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Third Ave Food Mart","4101 California St","","San Francisco","CA","94118","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Tiantian Market Inc","1117 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Tierra Santa Market","2890 San Bruno Ave","","San Francisco","CA","94134","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Tiffanys Cafe","3801 3rd St","Ste 535","San Francisco","CA","94124","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Tigers Liquors","2400 Clement St","","San Francisco","CA","94121","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Tip Top Market","90 Turk St","","San Francisco","CA","94102","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Tony's Market & Liquor","2751 24th St","","San Francisco","CA","94110","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Torino Market","4830 3rd St","","San Francisco","CA","94124","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Trader Joe's 100","3 Masonic Ave","","San Francisco","CA","94118","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
